FileName,TAG,no_finding,cardiomegaly,interstitial_pattern,alveolar_pattern,bronchial_pattern,tube,mass,pleural_effusion,pneumothorax,megaesophagu
IMG-0001-0001.dcm_aug_0,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0001-0001.dcm_aug_1,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0001-0001.dcm_aug_2,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0001-0001.dcm_aug_3,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0001-0001.dcm_aug_4,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0002-0003.dcm_aug_0,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0002-0003.dcm_aug_1,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0002-0003.dcm_aug_2,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0002-0003.dcm_aug_3,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0002-0003.dcm_aug_4,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0023-0001.dcm_aug_0,"no_finding,bronchial_pattern",1,0,0,0,1,0,0,0,0,0
IMG-0023-0001.dcm_aug_1,"no_finding,bronchial_pattern",1,0,0,0,1,0,0,0,0,0
IMG-0023-0001.dcm_aug_2,"no_finding,bronchial_pattern",1,0,0,0,1,0,0,0,0,0
IMG-0023-0001.dcm_aug_3,"no_finding,bronchial_pattern",1,0,0,0,1,0,0,0,0,0
IMG-0023-0001.dcm_aug_4,"no_finding,bronchial_pattern",1,0,0,0,1,0,0,0,0,0
IMG-0052-0001.dcm_aug_0,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0052-0001.dcm_aug_1,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0052-0001.dcm_aug_2,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0052-0001.dcm_aug_3,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0052-0001.dcm_aug_4,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0053-0002.dcm_aug_0,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0053-0002.dcm_aug_1,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0053-0002.dcm_aug_2,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0053-0002.dcm_aug_3,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0053-0002.dcm_aug_4,bronchial_pattern,0,0,0,0,1,0,0,0,0,0
IMG-0095-0001.dcm_aug_0,"cardiomegaly,tracheal_collapse",0,1,0,0,0,0,0,0,0,0
IMG-0095-0001.dcm_aug_1,"cardiomegaly,tracheal_collapse",0,1,0,0,0,0,0,0,0,0
IMG-0095-0001.dcm_aug_2,"cardiomegaly,tracheal_collapse",0,1,0,0,0,0,0,0,0,0
IMG-0095-0001.dcm_aug_3,"cardiomegaly,tracheal_collapse",0,1,0,0,0,0,0,0,0,0
IMG-0095-0001.dcm_aug_4,"cardiomegaly,tracheal_collapse",0,1,0,0,0,0,0,0,0,0
IMG-0101-0001.dcm_aug_0,"cardiomegaly,interstitial_pattern",0,1,1,0,0,0,0,0,0,0
IMG-0101-0001.dcm_aug_1,"cardiomegaly,interstitial_pattern",0,1,1,0,0,0,0,0,0,0
IMG-0101-0001.dcm_aug_2,"cardiomegaly,interstitial_pattern",0,1,1,0,0,0,0,0,0,0
IMG-0101-0001.dcm_aug_3,"cardiomegaly,interstitial_pattern",0,1,1,0,0,0,0,0,0,0
IMG-0101-0001.dcm_aug_4,"cardiomegaly,interstitial_pattern",0,1,1,0,0,0,0,0,0,0
IMG-0175-0003.dcm_aug_0,"cardiomegaly,alveolar_pattern",0,1,0,1,0,0,0,0,0,0
